"Source:","C:\GitHubProjects\PGKB\PCB\Rev 02.00\000018 PGKB\000018 PGKB.kicad_sch"
"Date:","24/01/2024 22.51.38"
"Tool:","Eeschema 7.0.6"
"Generator:","C:\Program Files\KiCad\6.0\bin\scripting\plugins/bom_csv_grouped_by_value.py"
"Component Count:","147"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","Code","DNP","MFG_PartNo","Manufacturer","Price","Sim.Enable","Supplier","Supplier_PartNo","Value"
"","","D6","Neopixel Reverse","KD_Led:Neopixel_Reverse_Adafruit_4960","KD_Diode:LEDM_NEO3535_REVERSE_SK6812-E","https://cdn-shop.adafruit.com/product-files/4960/4960_SK6812MINI-E_REV02_EN.pdf","","F","4960","Adafruit Industries LLC","0.28","","Digi-Key","1528-4960-ND","Neopixel Reverse"
"","","D7","Neopixel Reverse","KD_Led:Neopixel_Reverse_Adafruit_4960","KD_Diode:LEDM_NEO3535_REVERSE_SK6812-E","https://cdn-shop.adafruit.com/product-files/4960/4960_SK6812MINI-E_REV02_EN.pdf","","F","4960","Adafruit Industries LLC","0.28","","Digi-Key","1528-4960-ND","Neopixel Reverse"
"","","D8","Neopixel Reverse","KD_Led:Neopixel_Reverse_Adafruit_4960","KD_Diode:LEDM_NEO3535_REVERSE_SK6812-E","https://cdn-shop.adafruit.com/product-files/4960/4960_SK6812MINI-E_REV02_EN.pdf","","F","4960","Adafruit Industries LLC","0.28","","Digi-Key","1528-4960-ND","Neopixel Reverse"
"","","D9","Neopixel Reverse","KD_Led:Neopixel_Reverse_Adafruit_4960","KD_Diode:LEDM_NEO3535_REVERSE_SK6812-E","https://cdn-shop.adafruit.com/product-files/4960/4960_SK6812MINI-E_REV02_EN.pdf","","F","4960","Adafruit Industries LLC","0.28","","Digi-Key","1528-4960-ND","Neopixel Reverse"
"","","D10","Neopixel Reverse","KD_Led:Neopixel_Reverse_Adafruit_4960","KD_Diode:LEDM_NEO3535_REVERSE_SK6812-E","https://cdn-shop.adafruit.com/product-files/4960/4960_SK6812MINI-E_REV02_EN.pdf","","F","4960","Adafruit Industries LLC","0.28","","Digi-Key","1528-4960-ND","Neopixel Reverse"
"","","D11","TVS_5V5_DRTR5V0U4S-7-M","KD_Diode:TVS_5V5_DRTR5V0U4S-7-M","KD_Package_TO_SOT_SMD:SOT-363_SC-70-6","https://www.diodes.com/assets/Datasheets/DRTR5V0U4S.pdf","DRTR5V0U4S-7","F","DRTR5V0U4S-7","Diodes Incorporated","0.30","","Digi-Key","DRTR5V0U4S-7DICT-ND","TVS_5V5_DRTR5V0U4S-7-M"
"","","D12","Schottky_30V_1A_PMEG3010ER_115","KD_Diode:Schottky_30V_1A_PMEG3010ER_115","KD_Diode:DIOC360X180X150_SOD123","https://assets.nexperia.com/documents/data-sheet/PMEG3010ER.pdf","PMEG3010ER,115","F","PMEG3010ER,115","Nexperia USA Inc.","0.3","","Digi-Key","1727-5201-1-ND","Schottky_30V_1A_PMEG3010ER_115"
"","","D13","Schottky_30V_200mA_DCo_BAT54WS","KD_Diode:Schottky_30V_200mA_DCo_BAT54WS","KD_Diode:D_SOD-323","https://diotec.com/tl_files/diotec/files/pdf/datasheets/bat54ws.pdf","BAT54WS","F","BAT54WS","DComponents","0.05","","Digi-Key","2721-BAT54WSTR-ND","Schottky_30V_200mA_DCo_BAT54WS"
"","","D14","Neopixel Reverse","KD_Led:Neopixel_Reverse_Adafruit_4960","KD_Diode:LEDM_NEO3535_REVERSE_SK6812-E","https://cdn-shop.adafruit.com/product-files/4960/4960_SK6812MINI-E_REV02_EN.pdf","","F","4960","Adafruit Industries LLC","0.28","","Digi-Key","1528-4960-ND","Neopixel Reverse"
"","","D15","Red","KD_Led:0603_Red_Diff_B1911USD-20D000114U1930","KD_Diode:LEDM1608X70M","https://mm.digikey.com/Volume0/opasdata/d220001/medias/docus/3694/B1911USD-20D000114U1930.pdf","","F","B1911USD-20D000114U1930","Harvatek Corporation","0.10","","Digi-Key","3147-B1911USD-20D000114U1930CT-ND","Red"
"","","D16","Green","KD_Led:0603_Green_Diff_B1911NG--20D000214U1930","KD_Diode:LEDM1608X70M","https://mm.digikey.com/Volume0/opasdata/d220001/medias/docus/3690/B1911NG--20D000214U1930.pdf","","F","B1911NG--20D000214U1930","Harvatek Corporation","0.10","","Digi-Key","3147-B1911NG--20D000214U1930CT-ND","Green"
"","","FB1","Ferrite_500mA_TDK_MMZ2012Y152BT000","KD_Inductor:Ferrite_500mA_TDK_MMZ2012Y152BT000","KD_Inductor:INDC2016X100N","https://product.tdk.com/en/system/files?file=dam/doc/product/emc/emc/beads/catalog/beads_commercial_signal_mmz2012_en.pdf","MMZ2012Y152BT000","F","MMZ2012Y152BT000","Abracon LLC","0.10","","Digi-Key","445-MMZ2012Y152BT000CT-ND","Ferrite_500mA_TDK_MMZ2012Y152BT000"
"","","FB2","Ferrite_500mA_TDK_MMZ2012Y152BT000","KD_Inductor:Ferrite_500mA_TDK_MMZ2012Y152BT000","KD_Inductor:INDC2016X100N","https://product.tdk.com/en/system/files?file=dam/doc/product/emc/emc/beads/catalog/beads_commercial_signal_mmz2012_en.pdf","MMZ2012Y152BT000","F","MMZ2012Y152BT000","Abracon LLC","0.10","","Digi-Key","445-MMZ2012Y152BT000CT-ND","Ferrite_500mA_TDK_MMZ2012Y152BT000"
"","","H1","NPTH 3.2 M3 Clearance","KD_Mechanical_Mounting_Hole:NPTH_3.2_M3_Clearance","KD_Mechanical_Mounting_Hole:NPTH_3.2mm_M3_clearance","","","T","DNP","DNP","0.00","","DNP","DNP","NPTH 3.2 M3 Clearance"
"","","H2","NPTH 3.2 M3 Clearance","KD_Mechanical_Mounting_Hole:NPTH_3.2_M3_Clearance","KD_Mechanical_Mounting_Hole:NPTH_3.2mm_M3_clearance","","","T","DNP","DNP","0.00","","DNP","DNP","NPTH 3.2 M3 Clearance"
"","","H3","NPTH_3.2","KD_Mechanical_Mounting_Hole:NPTH_3.2","KD_Mechanical_Mounting_Hole:NPTH_3.2mm","","3.2 mm hole","T","DNP","DNP","0.00","","DNP","DNP","NPTH_3.2"
"","","H4","NPTH 3.2 M3 Clearance","KD_Mechanical_Mounting_Hole:NPTH_3.2_M3_Clearance","KD_Mechanical_Mounting_Hole:NPTH_3.2mm_M3_clearance","","","T","DNP","DNP","0.00","","DNP","DNP","NPTH 3.2 M3 Clearance"
"","","H5","PTH 3.2 M3 Clearance","KD_Mechanical_Mounting_Hole:PTH_3.2_M3_Clearance_B","KD_Mechanical_Mounting_Hole:PTH_3.2mm_M3_clearance_B","","","T","DNP","DNP","0.00","","DNP","DNP","PTH 3.2 M3 Clearance"
"","","H6","PTH 3.2 M3 Clearance","KD_Mechanical_Mounting_Hole:PTH_3.2_M3_Clearance_B","KD_Mechanical_Mounting_Hole:PTH_3.2mm_M3_clearance_B","","","T","DNP","DNP","0.00","","DNP","DNP","PTH 3.2 M3 Clearance"
